Path,URL,Size in bytes (optional but recommended),MD5 Hash (optional but recommended),Filter Terms (optional),Overwrite (optional),Comments (optional)
docs/ChannelF/Manuals/!!System Manual (Fairchild Channel F).pdf,https://archive.org/download/mister-manuals/1976_Fairchild%20Channel%20F.zip/1976_Fairchild%20Channel%20F%2F%21%21System%20Manual%20%28Fairchild%20Channel%20F%29.pdf,1894350,7ae12ba2b338020201df82e2b6a04fd6,,,!!System Manual (Fairchild Channel F).pdf
docs/ChannelF/Manuals/!Cartridges (Fairchild Channel F).pdf,https://archive.org/download/mister-manuals/1976_Fairchild%20Channel%20F.zip/1976_Fairchild%20Channel%20F%2F%21Cartridges%20%28Fairchild%20Channel%20F%29.pdf,3188493,81daf610e7a58f6d5d5838329ae6bd51,,,!Cartridges (Fairchild Channel F).pdf
docs/ChannelF/Manuals/00 Hockey + Tennis.pdf,https://archive.org/download/mister-manuals/1976_Fairchild%20Channel%20F.zip/1976_Fairchild%20Channel%20F%2F00%20Hockey%20%2B%20Tennis.pdf,747365,6ed005efa2af105864b28a980034bcfb,,,00 Hockey + Tennis.pdf
docs/ChannelF/Manuals/01 Tic-Tac-Toe + Shooting Gallery + Doodle.pdf,https://archive.org/download/mister-manuals/1976_Fairchild%20Channel%20F.zip/1976_Fairchild%20Channel%20F%2F01%20Tic-Tac-Toe%20%2B%20Shooting%20Gallery%20%2B%20Doodle.pdf,867097,5385b5e685fde0cc43cd4dbbb136dccf,,,01 Tic-Tac-Toe + Shooting Gallery + Doodle.pdf
docs/ChannelF/Manuals/02 Desert Fox + Shooting Gallery.pdf,https://archive.org/download/mister-manuals/1976_Fairchild%20Channel%20F.zip/1976_Fairchild%20Channel%20F%2F02%20Desert%20Fox%20%2B%20Shooting%20Gallery.pdf,566084,a3fcdeab1c6747bf5879b272d5f2b346,,,02 Desert Fox + Shooting Gallery.pdf
docs/ChannelF/Manuals/03 Video Blackjack.pdf,https://archive.org/download/mister-manuals/1976_Fairchild%20Channel%20F.zip/1976_Fairchild%20Channel%20F%2F03%20Video%20Blackjack.pdf,847453,0c498bd8ecf19757a15e6533b7722dac,,,03 Video Blackjack.pdf
docs/ChannelF/Manuals/04 Spitfire.pdf,https://archive.org/download/mister-manuals/1976_Fairchild%20Channel%20F.zip/1976_Fairchild%20Channel%20F%2F04%20Spitfire.pdf,654414,ce42aeb4263ab23dde45af5271cd8c49,,,04 Spitfire.pdf
docs/ChannelF/Manuals/05 Space War.pdf,https://archive.org/download/mister-manuals/1976_Fairchild%20Channel%20F.zip/1976_Fairchild%20Channel%20F%2F05%20Space%20War.pdf,507216,9bee7af868ad32d60f637a8f00d49874,,,05 Space War.pdf
docs/ChannelF/Manuals/06 Math Quiz I - Addition + Subtraction.pdf,https://archive.org/download/mister-manuals/1976_Fairchild%20Channel%20F.zip/1976_Fairchild%20Channel%20F%2F06%20Math%20Quiz%20I%20-%20Addition%20%2B%20Subtraction.pdf,1021996,2f8602dae6e47a8a35b672bbe3d32202,,,06 Math Quiz I - Addition + Subtraction.pdf
docs/ChannelF/Manuals/07 Math Quiz II - Multiplication + Division.pdf,https://archive.org/download/mister-manuals/1976_Fairchild%20Channel%20F.zip/1976_Fairchild%20Channel%20F%2F07%20Math%20Quiz%20II%20-%20Multiplication%20%2B%20Division.pdf,1051443,63e01328160bbf6f810d4b521ad04eb6,,,07 Math Quiz II - Multiplication + Division.pdf
docs/ChannelF/Manuals/08 Magic Numbers - Mind Reader + Nim.pdf,https://archive.org/download/mister-manuals/1976_Fairchild%20Channel%20F.zip/1976_Fairchild%20Channel%20F%2F08%20Magic%20Numbers%20-%20Mind%20Reader%20%2B%20Nim.pdf,1479491,051fca40fb6bfbb7e72fbc89fe119ea5,,,08 Magic Numbers - Mind Reader + Nim.pdf
docs/ChannelF/Manuals/09 Drag Strip.pdf,https://archive.org/download/mister-manuals/1976_Fairchild%20Channel%20F.zip/1976_Fairchild%20Channel%20F%2F09%20Drag%20Strip.pdf,615407,28e055de5f39712eb0eb047a34e73354,,,09 Drag Strip.pdf
docs/ChannelF/Manuals/10 Maze + Variations.pdf,https://archive.org/download/mister-manuals/1976_Fairchild%20Channel%20F.zip/1976_Fairchild%20Channel%20F%2F10%20Maze%20%2B%20Variations.pdf,834637,988a5ce48ce2ee9a32710bb0b5b71a33,,,10 Maze + Variations.pdf
docs/ChannelF/Manuals/11 Backgammon + Acey-Deucey.pdf,https://archive.org/download/mister-manuals/1976_Fairchild%20Channel%20F.zip/1976_Fairchild%20Channel%20F%2F11%20Backgammon%20%2B%20Acey-Deucey.pdf,888951,40e66523b2f2c366bed388eaa9d67de4,,,11 Backgammon + Acey-Deucey.pdf
docs/ChannelF/Manuals/12 Baseball.pdf,https://archive.org/download/mister-manuals/1976_Fairchild%20Channel%20F.zip/1976_Fairchild%20Channel%20F%2F12%20Baseball.pdf,517641,461c0cbe027ae6fafc8835572af79a81,,,12 Baseball.pdf
docs/ChannelF/Manuals/13 Robot War + Torpedo Alley.pdf,https://archive.org/download/mister-manuals/1976_Fairchild%20Channel%20F.zip/1976_Fairchild%20Channel%20F%2F13%20Robot%20War%20%2B%20Torpedo%20Alley.pdf,619832,9fd3911aae7125069a982d4e417f82c8,,,13 Robot War + Torpedo Alley.pdf
docs/ChannelF/Manuals/14 Sonar Search.pdf,https://archive.org/download/mister-manuals/1976_Fairchild%20Channel%20F.zip/1976_Fairchild%20Channel%20F%2F14%20Sonar%20Search.pdf,614847,4c851c0cd5af3f2e97e635ea60eea94b,,,14 Sonar Search.pdf
